,track_id,track_name,track_pop,artist_name,artist_pop,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,4Dvkj6JhhA12EX05fT7y2e,As It Was,94,Harry Styles,94.0,['pop'],0.52,0.731,6,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93
1,75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),94,Kate Bush,80.0,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",0.629,0.547,10,-13.123,0.0,0.055,0.72,0.00314,0.0604,0.197,108.375
2,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,98,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.911,0.712,1,-5.105,0.0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
3,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,92,Joji,82.0,"['alternative r&b', 'viral pop']",0.44,0.317,8,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914
4,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,98,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.647,0.686,3,-5.745,0.0,0.0413,0.08,1.34e-06,0.528,0.268,79.928
5,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,97,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.65,0.715,5,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672
6,10SRMwb9EuVS1K9rYsBfHQ,Yet To Come,91,BTS,92.0,"['k-pop', 'k-pop boy group']",0.559,0.885,1,-4.515,1.0,0.189,0.0432,0.0,0.333,0.683,172.029
7,6Xom58OOXk2SoU711L2IXO,Moscow Mule,97,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.804,0.674,5,-5.453,0.0,0.0333,0.294,1.18e-06,0.115,0.292,99.968
8,5Eax0qFko2dh7Rl2lYs3bx,Efecto,95,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.801,0.475,7,-8.797,0.0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047
9,7dSZ6zGTQx66c2GF91xCrb,PROVENZA,95,KAROL G,87.0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.87,0.516,1,-8.006,1.0,0.0541,0.656,0.00823,0.11,0.53,111.005
10,69xohKu8C1fsflYAiSNbwM,Run BTS,88,BTS,92.0,"['k-pop', 'k-pop boy group']",0.724,0.818,8,-3.747,1.0,0.168,0.0201,0.0,0.0358,0.696,77.004
11,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,95,Lizzo,80.0,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.836,0.743,10,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966
12,02MWAaffLxlfxAUY7c5dvx,Heat Waves,90,Glass Animals,80.0,"['gauze pop', 'indietronica', 'shiver pop']",0.761,0.525,11,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
13,2rurDawMfoKP4uHyb2kJBt,Te Felicito,92,Shakira,84.0,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.695,0.636,5,-4.654,1.0,0.317,0.234,0.0,0.081,0.575,174.14
14,4tYFy8ALRjIZvnvSLw5lxN,Party,95,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.829,0.799,9,-5.389,1.0,0.0897,0.0151,0.000543,0.242,0.471,97.013
15,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,95,Harry Styles,94.0,['pop'],0.714,0.728,10,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996
16,0wHFktze2PHC5jDt3B17DC,First Class,85,Jack Harlow,86.0,"['deep underground hip hop', 'kentucky hip hop', 'rap']",0.902,0.582,5,-5.902,0.0,0.109,0.111,3.18e-06,0.111,0.332,107.005
17,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),88,The Kid LAROI,83.0,['australian hip hop'],0.591,0.764,1,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928
18,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),85,Camila Cabello,83.0,"['dance pop', 'pop', 'post-teen pop']",0.756,0.697,8,-6.377,1.0,0.0401,0.182,0.0,0.333,0.956,94.996
19,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),89,Post Malone,90.0,"['dfw rap', 'melodic rap', 'rap']",0.733,0.67,5,-6.009,1.0,0.0751,0.121,0.0,0.121,0.472,100.964
20,41oY4WCTj5kccfesTVFnvN,Tarot,93,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.795,0.684,11,-3.971,0.0,0.0419,0.0225,0.0,0.658,0.419,114.011
21,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,85,Elton John,82.0,"['glam rock', 'mellow gold', 'piano rock']",0.795,0.8,1,-6.32,1.0,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
22,1dm6z1fWB0cErMszU25dy2,Después de la Playa,93,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.564,0.903,5,-3.221,1.0,0.307,0.356,0.0,0.175,0.607,78.293
23,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,93,Elley Duhé,75.0,"['alt z', 'pop']",0.41,0.611,4,-8.271,0.0,0.0467,0.0228,0.0,0.116,0.0899,185.727
24,7FlQk2gJ6TBrHHiidvdR2O,MAMIII,81,Becky G,81.0,"['dance pop', 'latin', 'latin viral pop', 'rap latina', 'reggaeton']",0.836,0.703,4,-3.554,0.0,0.0657,0.0845,0.0,0.138,0.902,94.048
25,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,92,Cris Mj,78.0,"['mambo chileno', 'urbano chileno']",0.87,0.548,10,-5.253,0.0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018
26,6I3mqTwhRpn34SLVafSH7G,Ghost,90,Justin Bieber,90.0,"['canadian pop', 'pop']",0.601,0.741,2,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96
27,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,84,Imagine Dragons,86.0,"['modern rock', 'rock']",0.728,0.783,11,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011
28,5CzixCxDkRXX9mScCmah8O,Un Ratito,92,Bad Bunny,100.0,"['latin', 'reggaeton', 'trap latino']",0.787,0.546,0,-7.094,0.0,0.0532,0.305,4.55e-05,0.122,0.222,93.05
